Name,Type,Extensions,Reference,Source
"Stata","programming",".do .ado .doh .ihlp .mata .matah .sthlp","https://www.stata.com","linguist"
"STL","data",".stl","https://github.com/search?q=language%3A%22STL%22&type=repositories","linguist"
"STON","data",".ston","https://github.com/search?q=language%3A%22STON%22&type=repositories","linguist"
"StringTemplate","markup",".st","https://github.com/search?q=language%3A%22StringTemplate%22&type=repositories","linguist"
"Structured Text (IEC 61131-3)","curated","","https://en.wikipedia.org/wiki/Structured_text","curated"
"Stylus","markup",".styl","https://stylus-lang.com","linguist"
"SubRip Text","data",".srt","https://github.com/search?q=language%3A%22SubRip%20Text%22&type=repositories","linguist"
"SugarSS","markup",".sss","https://github.com/search?q=language%3A%22SugarSS%22&type=repositories","linguist"
"SuperCollider","programming",".sc .scd","https://github.com/search?q=language%3A%22SuperCollider%22&type=repositories","linguist"
"SurrealQL","programming",".surql","https://github.com/search?q=language%3A%22SurrealQL%22&type=repositories","linguist"
"Survex data","data",".svx","https://github.com/search?q=language%3A%22Survex%20data%22&type=repositories","linguist"
"Svelte","markup",".svelte","https://svelte.dev","linguist"
"SVG","data",".svg","https://developer.mozilla.org/docs/Web/SVG","linguist"
"Sway","programming",".sw","https://fuellabs.github.io/sway/","linguist"
"Sweave","prose",".rnw","https://github.com/search?q=language%3A%22Sweave%22&type=repositories","linguist"
"Swift","programming",".swift","https://www.swift.org","linguist"
"SWIG","programming",".i .swg .swig","https://github.com/search?q=language%3A%22SWIG%22&type=repositories","linguist"
"SystemVerilog","programming",".sv .svh .vh","https://en.wikipedia.org/wiki/SystemVerilog","linguist"
"T-SQL","curated","","https://learn.microsoft.com/sql/t-sql/language-reference","curated"
"Tact","programming",".tact","https://github.com/search?q=language%3A%22Tact%22&type=repositories","linguist"
"Talon","programming",".talon","https://github.com/search?q=language%3A%22Talon%22&type=repositories","linguist"
"Tape","programming",".tape","https://github.com/search?q=language%3A%22Tape%22&type=repositories","linguist"
"Tauri (Rust)","curated","","https://tauri.app","curated"
"Tcl","programming",".tcl .adp .sdc .tcl.in .tm .xdc","https://www.tcl-lang.org","linguist"
"Tcl/Tk","curated","","https://www.tcl-lang.org","curated"
"Tcsh","programming",".tcsh .csh","https://github.com/search?q=language%3A%22Tcsh%22&type=repositories","linguist"
"Tea","markup",".tea","https://github.com/search?q=language%3A%22Tea%22&type=repositories","linguist"
"Teal","programming",".tl","https://github.com/search?q=language%3A%22Teal%22&type=repositories","linguist"
"templ","markup",".templ","https://github.com/search?q=language%3A%22templ%22&type=repositories","linguist"
"Tera","curated","","https://keats.github.io/tera/","curated"
"Terra","programming",".t","https://terralang.org","linguist"
"Terraform Template","markup",".tftpl","https://github.com/search?q=language%3A%22Terraform%20Template%22&type=repositories","linguist"
"TeX","markup",".tex .aux .bbx .cbx .cls .dtx .ins .lbx","https://github.com/search?q=language%3A%22TeX%22&type=repositories","linguist"
"Texinfo","prose",".texinfo .texi .txi","https://github.com/search?q=language%3A%22Texinfo%22&type=repositories","linguist"
"Text","prose",".txt .fr .nb .ncl .no","https://github.com/search?q=language%3A%22Text%22&type=repositories","linguist"
"TextGrid","data",".TextGrid","https://github.com/search?q=language%3A%22TextGrid%22&type=repositories","linguist"
"Textile","prose",".textile","https://en.wikipedia.org/wiki/Textile_(markup_language)","linguist"
"TextMate Properties","data","","https://github.com/search?q=language%3A%22TextMate%20Properties%22&type=repositories","linguist"
"Thrift","programming",".thrift","https://github.com/search?q=language%3A%22Thrift%22&type=repositories","linguist"
"Thymeleaf","curated","","https://www.thymeleaf.org","curated"
"TI Program","programming",".8xp .8xp.txt","https://github.com/search?q=language%3A%22TI%20Program%22&type=repositories","linguist"
"TinyGo","curated","","https://tinygo.org","curated"
"TL-Verilog","programming",".tlv","https://github.com/search?q=language%3A%22TL-Verilog%22&type=repositories","linguist"
"TLA","programming",".tla","https://github.com/search?q=language%3A%22TLA%22&type=repositories","linguist"
"TMDL","data",".tmdl","https://github.com/search?q=language%3A%22TMDL%22&type=repositories","linguist"
"Toit","programming",".toit","https://github.com/search?q=language%3A%22Toit%22&type=repositories","linguist"
"Tolk","programming",".tolk","https://github.com/search?q=language%3A%22Tolk%22&type=repositories","linguist"
"TOML","data",".toml .toml.example","https://toml.io","linguist"
"Tor Config","data","","https://github.com/search?q=language%3A%22Tor%20Config%22&type=repositories","linguist"
"Tree-sitter Query","programming",".scm","https://github.com/search?q=language%3A%22Tree-sitter%20Query%22&type=repositories","linguist"
"TSPLIB data","data",".tsp","https://github.com/search?q=language%3A%22TSPLIB%20data%22&type=repositories","linguist"
"TSQL","programming",".sql","https://github.com/search?q=language%3A%22TSQL%22&type=repositories","linguist"
"TSV","data",".tsv .vcf","https://github.com/search?q=language%3A%22TSV%22&type=repositories","linguist"
"TSX","programming",".tsx","https://github.com/search?q=language%3A%22TSX%22&type=repositories","linguist"
"Turbo Pascal","curated","","https://en.wikipedia.org/wiki/Turbo_Pascal","curated"
"Turing","programming",".t .tu","https://github.com/search?q=language%3A%22Turing%22&type=repositories","linguist"
"Turtle","data",".ttl","https://github.com/search?q=language%3A%22Turtle%22&type=repositories","linguist"
"Twig","markup",".twig","https://twig.symfony.com","linguist"
"Twine / Harlowe","curated","","https://twinery.org","curated"
"TXL","programming",".txl","https://github.com/search?q=language%3A%22TXL%22&type=repositories","linguist"
"Type Language","data",".tl","https://github.com/search?q=language%3A%22Type%20Language%22&type=repositories","linguist"
"TypeScript","programming",".ts .cts .mts","https://www.typescriptlang.org","linguist"
"TypeSpec","programming",".tsp","https://github.com/search?q=language%3A%22TypeSpec%22&type=repositories","linguist"
"Typst","programming",".typ","https://typst.app","linguist"
"ucode","programming",".uc","https://github.com/search?q=language%3A%22ucode%22&type=repositories","linguist"
"Umka","curated","","https://github.com/vtereshkov/umka-lang","curated"
"Unified Parallel C","programming",".upc","https://github.com/search?q=language%3A%22Unified%20Parallel%20C%22&type=repositories","linguist"
"Unison","curated","","https://www.unison-lang.org","curated"
"Unity3D Asset","data",".anim .asset .mask .mat .meta .prefab .unity","https://github.com/search?q=language%3A%22Unity3D%20Asset%22&type=repositories","linguist"
"Unix Assembly","programming",".s .ms","https://github.com/search?q=language%3A%22Unix%20Assembly%22&type=repositories","linguist"
"Unlambda","curated","","https://en.wikipedia.org/wiki/Unlambda","curated"
"Uno","programming",".uno","https://github.com/search?q=language%3A%22Uno%22&type=repositories","linguist"
"UnrealScript","programming",".uc","https://en.wikipedia.org/wiki/UnrealScript","linguist"
"Untyped Plutus Core","programming",".uplc","https://github.com/search?q=language%3A%22Untyped%20Plutus%20Core%22&type=repositories","linguist"
"UrWeb","programming",".ur .urs","https://github.com/search?q=language%3A%22UrWeb%22&type=repositories","linguist"
"V","programming",".v","https://vlang.io","linguist"
"Vala","programming",".vala .vapi","https://vala.dev","linguist"
"Vale","curated","","https://vale.dev","curated"
"Valve Data Format","data",".vdf .vmf","https://github.com/search?q=language%3A%22Valve%20Data%20Format%22&type=repositories","linguist"
"VBA","programming",".bas .cls .frm .vba","https://learn.microsoft.com/office/vba/api/overview/","linguist"
"VBScript","programming",".vbs","https://en.wikipedia.org/wiki/VBScript","linguist"
"vCard","data",".vcf","https://github.com/search?q=language%3A%22vCard%22&type=repositories","linguist"
"VCL","programming",".vcl","https://github.com/search?q=language%3A%22VCL%22&type=repositories","linguist"
"Velato","curated","","https://esolangs.org/wiki/Velato","curated"
"Velocity Template Language","markup",".vtl","https://github.com/search?q=language%3A%22Velocity%20Template%20Language%22&type=repositories","linguist"
"Vento","markup",".vto","https://github.com/search?q=language%3A%22Vento%22&type=repositories","linguist"
"Verilog","programming",".v .veo","https://en.wikipedia.org/wiki/Verilog","linguist"
"Verse","programming",".verse","https://dev.epicgames.com/documentation/uefn/verse-language-reference","linguist"
"Vespa Schema Definition","data",".sd","https://github.com/search?q=language%3A%22Vespa%20Schema%20Definition%22&type=repositories","linguist"
"VHDL","programming",".vhdl .vhd .vhf .vhi .vho .vhs .vht .vhw","https://en.wikipedia.org/wiki/VHDL","linguist"
"Vim Help File","prose",".txt","https://github.com/search?q=language%3A%22Vim%20Help%20File%22&type=repositories","linguist"
"Vim script","programming",".vim .vba .vimrc .vmb","https://vimhelp.org/usr_41.txt.html","linguist"
"Vim Snippet","markup",".snip .snippet .snippets","https://github.com/search?q=language%3A%22Vim%20Snippet%22&type=repositories","linguist"
"Visual Basic .NET","programming",".vb .vbhtml","https://learn.microsoft.com/dotnet/visual-basic/","linguist"
"Visual Basic 6","curated","","https://en.wikipedia.org/wiki/Visual_Basic_(classic)","curated"
"Visual Basic 6.0","programming",".bas .cls .ctl .Dsr .frm","https://github.com/search?q=language%3A%22Visual%20Basic%206.0%22&type=repositories","linguist"
"Volt","programming",".volt","https://github.com/search?q=language%3A%22Volt%22&type=repositories","linguist"
"Vue","markup",".vue","https://github.com/search?q=language%3A%22Vue%22&type=repositories","linguist"
"Vue SFC","curated","","https://vuejs.org/guide/scaling-up/sfc.html","curated"
"Vyper","programming",".vy","https://vyperlang.org","linguist"
"Wavefront Material","data",".mtl","https://github.com/search?q=language%3A%22Wavefront%20Material%22&type=repositories","linguist"
"Wavefront Object","data",".obj","https://github.com/search?q=language%3A%22Wavefront%20Object%22&type=repositories","linguist"
"WDL","programming",".wdl","https://github.com/search?q=language%3A%22WDL%22&type=repositories","linguist"
"Web Ontology Language","data",".owl","https://github.com/search?q=language%3A%22Web%20Ontology%20Language%22&type=repositories","linguist"
"WebAssembly","programming",".wast .wat","https://webassembly.org","linguist"
"WebAssembly Interface Type","data",".wit","https://github.com/search?q=language%3A%22WebAssembly%20Interface%20Type%22&type=repositories","linguist"
"WebAssembly Text","curated","","https://webassembly.github.io/spec/core/text/index.html","curated"
"WebIDL","programming",".webidl","https://github.com/search?q=language%3A%22WebIDL%22&type=repositories","linguist"
"WebVTT","data",".vtt","https://github.com/search?q=language%3A%22WebVTT%22&type=repositories","linguist"
"Wget Config","data","","https://github.com/search?q=language%3A%22Wget%20Config%22&type=repositories","linguist"
"WGSL","programming",".wgsl","https://www.w3.org/TR/WGSL/","linguist"
"Whiley","programming",".whiley","https://whiley.org","linguist"
"Whitespace","curated","","https://en.wikipedia.org/wiki/Whitespace_(programming_language)","curated"
"Wikitext","prose",".mediawiki .wiki .wikitext","https://github.com/search?q=language%3A%22Wikitext%22&type=repositories","linguist"
"Win32 Message File","data",".mc","https://github.com/search?q=language%3A%22Win32%20Message%20File%22&type=repositories","linguist"
"Windows Registry Entries","data",".reg","https://github.com/search?q=language%3A%22Windows%20Registry%20Entries%22&type=repositories","linguist"
"wisp","programming",".wisp","https://github.com/search?q=language%3A%22wisp%22&type=repositories","linguist"
"Witcher Script","programming",".ws","https://github.com/search?q=language%3A%22Witcher%20Script%22&type=repositories","linguist"
"Wolfram Alpha syntax","curated","","https://www.wolframalpha.com","curated"
"Wolfram Language","programming",".mathematica .cdf .m .ma .mt .nb .nbp .wl","https://www.wolfram.com/language/","linguist"
"Wollok","programming",".wlk","https://github.com/search?q=language%3A%22Wollok%22&type=repositories","linguist"
"World of Warcraft Addon Data","data",".toc","https://github.com/search?q=language%3A%22World%20of%20Warcraft%20Addon%20Data%22&type=repositories","linguist"
"Wren","programming",".wren","https://wren.io","linguist"
"X BitMap","data",".xbm","https://github.com/search?q=language%3A%22X%20BitMap%22&type=repositories","linguist"
"X Font Directory Index","data","","https://github.com/search?q=language%3A%22X%20Font%20Directory%20Index%22&type=repositories","linguist"
"X PixMap","data",".xpm .pm","https://github.com/search?q=language%3A%22X%20PixMap%22&type=repositories","linguist"
"X++","curated","","https://learn.microsoft.com/dynamics365/fin-ops-core/dev-itpro/dev-ref/xpp-language-reference","curated"
"X10","programming",".x10","https://github.com/search?q=language%3A%22X10%22&type=repositories","linguist"
"xBase","programming",".prg .ch .prw","https://github.com/search?q=language%3A%22xBase%22&type=repositories","linguist"
"XC","programming",".xc","https://github.com/search?q=language%3A%22XC%22&type=repositories","linguist"
"XCompose","data","","https://github.com/search?q=language%3A%22XCompose%22&type=repositories","linguist"
"Xmake","programming","","https://github.com/search?q=language%3A%22Xmake%22&type=repositories","linguist"
"XML","data",".xml .adml .admx .ant .axaml .axml .builds .ccproj","https://www.w3.org/XML/","linguist"
"XML Property List","data",".plist .stTheme .tmCommand .tmLanguage .tmPreferences .tmSnippet .tmTheme","https://github.com/search?q=language%3A%22XML%20Property%20List%22&type=repositories","linguist"
"Xojo","programming",".xojo_code .xojo_menu .xojo_report .xojo_script .xojo_toolbar .xojo_window","https://github.com/search?q=language%3A%22Xojo%22&type=repositories","linguist"
"Xonsh","programming",".xsh","https://xon.sh","linguist"
"XPages","data",".xsp-config .xsp.metadata","https://github.com/search?q=language%3A%22XPages%22&type=repositories","linguist"
"XPath / XQuery","curated","","https://www.w3.org/TR/xpath-31/","curated"
"XProc","programming",".xpl .xproc","https://github.com/search?q=language%3A%22XProc%22&type=repositories","linguist"
"XQuery","programming",".xquery .xq .xql .xqm .xqy","https://github.com/search?q=language%3A%22XQuery%22&type=repositories","linguist"
"XS","programming",".xs","https://github.com/search?q=language%3A%22XS%22&type=repositories","linguist"
"XSLT","programming",".xslt .xsl","https://www.w3.org/TR/xslt-30/","linguist"
"Xtend","programming",".xtend","https://eclipse.dev/Xtext/xtend/","linguist"
"Yacc","programming",".y .yacc .yy","https://github.com/search?q=language%3A%22Yacc%22&type=repositories","linguist"
"YAML","data",".yml .mir .reek .rviz .sublime-syntax .syntax .yaml .yaml-tmlanguage","https://yaml.org","linguist"
"YANG","data",".yang","https://github.com/search?q=language%3A%22YANG%22&type=repositories","linguist"
"YARA","programming",".yar .yara","https://github.com/search?q=language%3A%22YARA%22&type=repositories","linguist"
"Yarn Spinner","curated","","https://www.yarnspinner.dev","curated"
"YASnippet","markup",".yasnippet","https://github.com/search?q=language%3A%22YASnippet%22&type=repositories","linguist"
"Yul","programming",".yul","https://docs.soliditylang.org/en/latest/yul.html","linguist"
"ZAP","programming",".zap .xzap","https://github.com/search?q=language%3A%22ZAP%22&type=repositories","linguist"
"Zeek","programming",".zeek .bro","https://github.com/search?q=language%3A%22Zeek%22&type=repositories","linguist"
"ZenScript","programming",".zs","https://github.com/search?q=language%3A%22ZenScript%22&type=repositories","linguist"
"Zephir","programming",".zep","https://github.com/search?q=language%3A%22Zephir%22&type=repositories","linguist"
"Zig","programming",".zig .zig.zon","https://ziglang.org","linguist"
"ZIL","programming",".zil .mud","https://github.com/search?q=language%3A%22ZIL%22&type=repositories","linguist"
"Zimpl","programming",".zimpl .zmpl .zpl","https://github.com/search?q=language%3A%22Zimpl%22&type=repositories","linguist"
"Zmodel","data",".zmodel","https://github.com/search?q=language%3A%22Zmodel%22&type=repositories","linguist"
"ZScript","curated","","https://zdoom.org/wiki/ZScript","curated"
"Zsh","curated","","https://www.zsh.org","curated"
